model,label,subject,n_trials,nll,aic,bic,cv_nll,cv_per_trial
switch,Switch,7,5797,27088.810369270337,54195.620738540674,54255.60660093273,27280.14667368309,4.705907654594289
basic_bayes,Basic-Bayes,8,5797,31001.90886802456,62021.81773604912,62081.803598441176,31337.497566642014,5.405812931972057
hb_adaptive,HB-Adaptive,8,5797,30953.150329263954,61918.30065852791,61958.291233455944,31282.17579734235,5.396269759762351
hb_rachel,HB-Rachel,8,5797,30965.680790294107,61945.361580588215,61992.017251337595,31308.661415548817,5.400838608857826
hb_salma,HB-Salma,8,5797,30990.419894407023,61992.839788814046,62032.83036374208,31197.81380977439,5.381717062234672
hierarchical_online,Hier-Online,8,5797,30961.507340421565,61939.01468084313,61992.33544741385,,
recombined,Recombined,8,5797,31083.535149070318,62181.070298140636,62227.725968890016,,
switch,Switch,8,5797,30947.412655521566,61912.82531104313,61972.81117343519,31293.828361919557,5.398279862328715
basic_bayes,Basic-Bayes,9,8632,42312.86791958606,84643.73583917212,84707.30492273456,42396.764788619235,4.911580721573127
hb_adaptive,HB-Adaptive,9,8632,42277.40181738851,84566.80363477702,84609.18302381865,42384.99774417709,4.91021753292135
hb_rachel,HB-Rachel,9,8632,42319.6555873278,84653.3111746556,84702.75379520416,42419.64259141271,4.914231069440768
hb_salma,HB-Salma,9,8632,42512.72959388007,85037.45918776013,85079.83857680176,42623.56809666479,4.93785543288517
hierarchical_online,Hier-Online,9,8632,42297.41921991953,84610.83843983906,84667.34429189457,,
recombined,Recombined,9,8632,42749.03016987802,85512.06033975603,85561.5029603046,,
switch,Switch,9,8632,42232.343928301554,84482.68785660311,84546.25694016555,42337.65898492168,4.904733431988147
basic_bayes,Basic-Bayes,10,6045,30986.795409706276,61991.59081941255,62051.95370027999,31367.455617552165,5.188991830860573
hb_adaptive,HB-Adaptive,10,6045,31057.060959955204,62126.12191991041,62166.3638404887,31313.373257063085,5.180045203815233
hb_rachel,HB-Rachel,10,6045,31110.12927862545,62234.2585572509,62281.20746459224,31358.614729205285,5.187529318313529
hb_salma,HB-Salma,10,6045,31107.209673050023,62226.41934610005,62266.66126667834,31346.798942997735,5.185574680396647
hierarchical_online,Hier-Online,10,6045,31077.654102809334,62171.30820561867,62224.96409972306,,
recombined,Recombined,10,6045,31183.233877644783,62380.46775528957,62427.41666263091,,
switch,Switch,10,6045,30887.197117311112,61792.394234622225,61852.757115489665,31177.39365179882,5.157550645458862
basic_bayes,Basic-Bayes,11,6474,31468.318125923324,62954.63625184665,63015.61619675702,31618.865215765225,4.883976709262469
hb_adaptive,HB-Adaptive,11,6474,31433.50951744101,62879.01903488202,62919.67233148894,31538.817168988935,4.871612166973885
hb_rachel,HB-Rachel,11,6474,31403.718024831032,62821.436049662065,62868.86489570347,31568.117760013123,4.876138053755502
hb_salma,HB-Salma,11,6474,31728.618258196195,63469.23651639239,63509.8898129993,31840.25657451489,4.918173706288985
hierarchical_online,Hier-Online,11,6474,31710.429400594814,63436.85880118963,63491.06319666552,,
recombined,Recombined,11,6474,31676.697748580147,63367.395497160294,63414.8243432017,,
switch,Switch,11,6474,31296.837390528643,62611.674781057285,62672.65472596766,31458.523556310905,4.859209693591428
basic_bayes,Basic-Bayes,12,6474,32804.883279098016,65627.76655819603,65688.7465031064,33087.78806912054,5.11087242340447
hb_adaptive,HB-Adaptive,12,6474,32683.514356174113,65379.02871234823,65419.68200895515,32782.54409228232,5.063723214748582
hb_rachel,HB-Rachel,12,6474,32750.010971351505,65514.02194270301,65561.45078874442,32870.9362141521,5.0773766163348935
hb_salma,HB-Salma,12,6474,32879.58652935352,65771.17305870703,65811.82635531395,32979.94274611525,5.094214202365655
hierarchical_online,Hier-Online,12,6474,32799.45223549167,65614.90447098334,65669.10886645922,,
recombined,Recombined,12,6474,33042.58980349945,66099.1796069989,66146.60845304032,,
switch,Switch,12,6474,32580.842702459486,65179.68540491897,65240.665349829345,32832.33627813034,5.07141431543564
