model,model_label,subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,median_believed_sd,p25_believed_sd,p75_believed_sd,mean_believed_alpha
hb_adaptive,HB-Adaptive,5,0.12,80,late,251,23.38984736853827,25.457104738487207,20.829510799538838,26.545641116134128,0.504264240798282
hb_adaptive,HB-Adaptive,5,0.12,80,middle,285,23.232900904533974,25.457104738487207,20.829510799538838,26.18930575528039,0.5051336512024283
hb_adaptive,HB-Adaptive,5,0.24,10,early,65,13.714826420480358,14.268056208559393,12.042284208636367,14.268056208559397,0.621647164147149
hb_adaptive,HB-Adaptive,5,0.24,10,late,54,13.890657463639466,14.268056208559393,12.042284208636367,14.268056208559397,0.6200712077385577
hb_adaptive,HB-Adaptive,5,0.24,10,middle,67,14.485036079012445,14.268056208559393,12.042284208636367,14.268056208559397,0.6156677293189647
hb_adaptive,HB-Adaptive,5,0.24,20,early,50,18.619461279756162,14.268056208559397,14.268056208559393,25.457104738487207,0.5815009208189362
hb_adaptive,HB-Adaptive,5,0.24,20,late,45,17.565461529675428,14.268056208559397,14.268056208559393,20.829510799538838,0.590913192839772
hb_adaptive,HB-Adaptive,5,0.24,20,middle,55,17.360086252295822,14.268056208559397,13.15517020859788,20.829510799538838,0.5931691269476137
hb_adaptive,HB-Adaptive,5,0.24,40,early,55,20.54544638615635,20.829510799538838,14.268056208559397,26.663717982474658,0.5576251280466713
hb_adaptive,HB-Adaptive,5,0.24,40,late,56,21.335829810421902,25.457104738487207,14.268056208559397,26.54564111613412,0.5471541825000643
hb_adaptive,HB-Adaptive,5,0.24,40,middle,69,22.63146612015687,25.457104738487207,20.829510799538838,26.781794848815192,0.5404090785113408
hb_adaptive,HB-Adaptive,5,0.24,80,early,135,23.322447654822213,25.32714649677449,20.829510799538838,26.18930575528039,0.5021289599465231
hb_adaptive,HB-Adaptive,5,0.24,80,late,145,23.76453178940769,25.457104738487207,24.593085256810163,26.18930575528039,0.4977514168223414
hb_adaptive,HB-Adaptive,5,0.24,80,middle,142,23.140596763212166,25.32714649677449,20.829510799538838,26.18930575528039,0.5051801993773989
hb_adaptive,HB-Adaptive,6,0.06,10,early,234,10.079240699733244,9.866929637417044,9.089638390457317,10.551891809438601,0.9170200123489912
hb_adaptive,HB-Adaptive,6,0.06,10,late,270,10.19871544892893,10.173502552007148,9.855547300484645,10.480314246049467,0.9344544981812571
hb_adaptive,HB-Adaptive,6,0.06,10,middle,245,10.322120634982987,10.25905901319701,9.893084680790375,10.560354282760096,0.9339053614224326
hb_adaptive,HB-Adaptive,6,0.06,20,early,236,18.194949458300773,17.928132333352835,15.156817171190866,20.884333590973917,0.8307783850615923
hb_adaptive,HB-Adaptive,6,0.06,20,late,237,17.32859539250901,17.286216217559375,15.560455034822748,19.35252328998395,0.8742145751023075
hb_adaptive,HB-Adaptive,6,0.06,20,middle,234,17.249393095485896,17.14721538958547,15.166988036611052,19.33322067252555,0.8724028132422091
hb_adaptive,HB-Adaptive,6,0.06,40,early,240,23.38871687753652,23.15059551650775,18.574485282634704,28.10204361446557,0.7185461220765421
hb_adaptive,HB-Adaptive,6,0.06,40,late,226,23.607130114766488,24.300372874477013,19.358762260010565,28.249323171583878,0.7429721929321501
hb_adaptive,HB-Adaptive,6,0.06,40,middle,227,25.635462057569132,26.323702888687574,21.193030875283412,29.965272836502372,0.7424816755392906
hb_adaptive,HB-Adaptive,6,0.06,80,early,487,26.085270452986908,27.658023751824878,21.682142340263205,30.802302225803466,0.5043403476566696
hb_adaptive,HB-Adaptive,6,0.06,80,late,519,25.054666261493683,26.235954203157444,19.78418762985857,30.251370492405744,0.5172244209054806
