subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,mean_believed_alpha,median_believed_sd,median_believed_alpha
5,0.12,10,early,116,13.836937788926521,0.621042301734708,14.268056208559393,0.6151996191330658
5,0.12,10,late,118,14.290071136179835,0.6176450072295897,14.268056208559393,0.6151996191330658
5,0.12,10,middle,134,13.761102670607253,0.6217435441255176,14.268056208559393,0.6151996191330658
5,0.12,20,early,120,17.20983368969694,0.5941851333456419,14.268056208559397,0.6151996191330655
5,0.12,20,late,126,17.108315053742196,0.5945640532047174,14.268056208559397,0.6151996191330655
5,0.12,20,middle,129,18.16082930649605,0.5864626445609818,14.268056208559397,0.6151996191330655
5,0.12,40,early,154,20.713871157384265,0.555341888038664,20.829510799538838,0.5691528072728989
5,0.12,40,late,155,21.760562015365473,0.5469344070899075,25.457104738487207,0.5324515778305405
5,0.12,40,middle,138,21.877285616038623,0.5429346230116607,25.457104738487207,0.5324515778305405
5,0.12,80,early,289,23.195509909256995,0.5067938929992659,25.457104738487207,0.48708299441194924
5,0.12,80,late,251,23.38984736853827,0.5042642407982819,25.457104738487207,0.48708299441194924
5,0.12,80,middle,285,23.232900904533974,0.5051336512024283,25.457104738487207,0.48708299441194924
5,0.24,10,early,65,13.714826420480358,0.6216471641471492,14.268056208559393,0.6151996191330658
5,0.24,10,late,54,13.890657463639466,0.6200712077385576,14.268056208559393,0.6151996191330658
5,0.24,10,middle,67,14.485036079012445,0.6156677293189649,14.268056208559393,0.6151996191330658
5,0.24,20,early,50,18.619461279756162,0.5815009208189362,14.268056208559397,0.6151996191330655
5,0.24,20,late,45,17.565461529675428,0.590913192839772,14.268056208559397,0.6151996191330655
5,0.24,20,middle,55,17.360086252295822,0.5931691269476137,14.268056208559397,0.6151996191330655
5,0.24,40,early,55,20.54544638615635,0.5576251280466714,20.829510799538838,0.5691528072728989
5,0.24,40,late,56,21.335829810421902,0.5471541825000643,25.457104738487207,0.5324515778305405
5,0.24,40,middle,69,22.63146612015687,0.5404090785113407,25.457104738487207,0.5324515778305405
5,0.24,80,early,135,23.322447654822213,0.5021289599465231,25.32714649677449,0.48708299441194924
5,0.24,80,late,145,23.76453178940769,0.4977514168223414,25.457104738487207,0.47250465078458387
5,0.24,80,middle,142,23.140596763212166,0.505180199377399,25.32714649677449,0.48708299441194924
6,0.06,10,early,234,10.079240699733244,0.9170200123489912,9.866929637417044,0.9366731543418165
6,0.06,10,late,270,10.19871544892893,0.934454498181257,10.173502552007148,0.9438320958307013
6,0.06,10,middle,245,10.322120634982987,0.9339053614224326,10.25905901319701,0.9439902815083449
6,0.06,20,early,236,18.194949458300773,0.8307783850615923,17.928132333352835,0.8551226011245565
6,0.06,20,late,237,17.32859539250901,0.8742145751023076,17.286216217559375,0.8953214352058186
6,0.06,20,middle,234,17.249393095485896,0.8724028132422091,17.14721538958547,0.8905691582747388
