subject_id,session_id,run_id,n_trials,prior_std_values,n_prior_std_values,coherence_values,n_direction_values,first_trial_index,last_trial_index,first_motion_direction,last_motion_direction
10,4,18,226,80,1,0.06;0.12;0.24,36,1,226,215,255
10,4,19,202,40,1,0.06;0.12;0.24,19,1,202,275,155
10,5,20,204,20,1,0.06;0.12;0.24,11,1,204,225,225
10,5,21,221,10,1,0.06;0.12;0.24,5,1,221,235,225
10,5,22,226,80,1,0.06;0.12;0.24,36,1,226,175,165
10,5,23,226,80,1,0.06;0.12;0.24,36,1,226,295,45
10,5,24,202,40,1,0.06;0.12;0.24,19,1,202,245,265
10,6,25,221,10,1,0.06;0.12;0.24,5,1,221,215,215
10,6,26,226,80,1,0.06;0.12;0.24,36,1,226,285,245
10,6,27,226,80,1,0.06;0.12;0.24,36,1,226,25,205
10,6,28,204,20,1,0.06;0.12;0.24,11,1,204,225,205
10,6,29,202,40,1,0.06;0.12;0.24,19,1,202,235,255
11,1,1,221,10,1,0.06;0.12;0.24,5,1,221,225,225
11,1,2,226,80,1,0.06;0.12;0.24,36,1,226,345,325
11,1,3,204,20,1,0.06;0.12;0.24,11,1,204,215,235
11,1,4,202,40,1,0.06;0.12;0.24,19,1,202,245,225
11,1,5,226,80,1,0.06;0.12;0.24,36,1,226,35,185
11,2,6,226,80,1,0.06;0.12;0.24,36,1,226,125,85
11,2,7,204,20,1,0.06;0.12;0.24,11,1,204,235,195
11,2,8,202,40,1,0.06;0.12;0.24,19,1,202,195,175
11,2,9,221,10,1,0.06;0.12;0.24,5,1,221,225,235
11,2,10,226,80,1,0.06;0.12;0.24,36,1,226,125,115
11,3,11,226,80,1,0.06;0.12;0.24,36,1,226,305,255
11,3,12,202,40,1,0.06;0.12;0.24,19,1,202,225,235
11,3,13,226,80,1,0.06;0.12;0.24,36,1,226,195,205
11,3,14,221,10,1,0.06;0.12;0.24,5,1,221,235,225
11,3,15,204,20,1,0.06;0.12;0.24,11,1,204,235,195
11,4,16,226,80,1,0.06;0.12;0.24,36,1,226,125,275
11,4,17,204,20,1,0.06;0.12;0.24,11,1,204,205,235
11,4,18,221,10,1,0.06;0.12;0.24,5,1,221,235,225
11,4,19,202,40,1,0.06;0.12;0.24,19,1,202,275,205
11,4,20,226,80,1,0.06;0.12;0.24,36,1,226,315,255
11,5,21,202,40,1,0.06;0.12;0.24,19,1,202,175,225
11,5,22,226,80,1,0.06;0.12;0.24,36,1,226,305,215
11,5,23,221,10,1,0.06;0.12;0.24,5,1,221,225,225
11,5,24,226,80,1,0.06;0.12;0.24,36,1,226,355,35
11,5,25,204,20,1,0.06;0.12;0.24,11,1,204,235,235
11,6,26,221,10,1,0.06;0.12;0.24,5,1,221,225,245
11,6,27,204,20,1,0.06;0.12;0.24,11,1,204,195,215
11,6,28,226,80,1,0.06;0.12;0.24,36,1,226,225,75
11,6,29,226,80,1,0.06;0.12;0.24,36,1,226,185,195
11,6,30,202,40,1,0.06;0.12;0.24,19,1,202,235,225
12,1,1,204,20,1,0.06;0.12;0.24,11,1,204,235,245
12,1,2,221,10,1,0.06;0.12;0.24,5,1,221,225,245
12,1,3,226,80,1,0.06;0.12;0.24,36,1,226,295,195
12,1,4,226,80,1,0.06;0.12;0.24,36,1,226,225,115
12,1,5,202,40,1,0.06;0.12;0.24,19,1,202,225,255
12,2,6,226,80,1,0.06;0.12;0.24,36,1,226,165,215
12,2,7,226,80,1,0.06;0.12;0.24,36,1,226,185,215
12,2,8,202,40,1,0.06;0.12;0.24,19,1,202,185,175
12,2,9,221,10,1,0.06;0.12;0.24,5,1,221,225,215
12,2,10,204,20,1,0.06;0.12;0.24,11,1,204,255,255
12,3,11,204,20,1,0.06;0.12;0.24,11,1,204,235,215
12,3,12,226,80,1,0.06;0.12;0.24,36,1,226,325,355
12,3,13,226,80,1,0.06;0.12;0.24,36,1,226,155,215
12,3,14,202,40,1,0.06;0.12;0.24,19,1,202,285,255
12,3,15,221,10,1,0.06;0.12;0.24,5,1,221,215,225
12,4,16,202,40,1,0.06;0.12;0.24,19,1,202,175,215
12,4,17,204,20,1,0.06;0.12;0.24,11,1,204,225,215
12,4,18,221,10,1,0.06;0.12;0.24,5,1,221,235,215
12,4,19,226,80,1,0.06;0.12;0.24,36,1,226,175,295
12,4,20,226,80,1,0.06;0.12;0.24,36,1,226,205,275
12,5,21,226,80,1,0.06;0.12;0.24,36,1,226,145,255
12,5,22,221,10,1,0.06;0.12;0.24,5,1,221,225,225
12,5,23,204,20,1,0.06;0.12;0.24,11,1,204,265,245
12,5,24,202,40,1,0.06;0.12;0.24,19,1,202,275,245
12,5,25,226,80,1,0.06;0.12;0.24,36,1,226,335,215
12,6,26,204,20,1,0.06;0.12;0.24,11,1,204,245,195
12,6,27,226,80,1,0.06;0.12;0.24,36,1,226,285,175
12,6,28,221,10,1,0.06;0.12;0.24,5,1,221,225,225
12,6,29,226,80,1,0.06;0.12;0.24,36,1,226,205,225
12,6,30,202,40,1,0.06;0.12;0.24,19,1,202,185,185
