subject_id,session_id,run_id,trial_index,motion_direction,estimate_deg,prior_mean,prior_std,motion_coherence,prior_kappa_t,predicted_estimate_deg,p_observed,observed_error_from_motion,predicted_error_from_motion,smoke_trial_order,block_id,trials_into_block,prev_prior_std,prior_std_change,simulated_error_from_motion,abs_simulated_error_from_motion,abs_predicted_error_from_motion,log_probability_of_simulated_response
1,1,5,7,235.0,237.47397897867108,225.0,80.0,0.12,5.468134177007197,233.0,0.02042835566502239,2.4739789786710844,-2.0,43,5,7,40.0,40.0,2.4739789786710844,2.4739789786710844,2.0,-3.8908313596853707
1,1,5,8,185.0,200.63324612711426,225.0,80.0,0.12,5.4693796622849336,191.0,0.01792122248160378,15.633246127114262,6.0,44,5,8,40.0,40.0,15.633246127114262,15.633246127114262,6.0,-4.021769654922655
1,1,5,9,275.0,222.89176575612794,225.0,80.0,0.06,5.470614332629292,261.0,0.0019491822619262873,-52.10823424387206,-14.0,45,5,9,40.0,40.0,-52.10823424387206,52.10823424387206,14.0,-6.240345347217795
1,2,6,1,225.0,198.25663809638976,225.0,10.0,0.06,18.7694776333741,225.0,0.006083576876879876,-26.743361903610236,0.0,46,6,1,80.0,-70.0,-26.743361903610236,26.743361903610236,0.0,-5.102162453867511
1,2,6,2,225.0,251.51265500025488,225.0,10.0,0.24,18.786513276644712,225.0,0.006209627677969883,26.51265500025488,0.0,47,6,2,80.0,-70.0,26.51265500025488,26.51265500025488,0.0,-5.081654340072481
1,2,6,3,225.0,189.61971878455384,225.0,10.0,0.24,18.80340099416277,225.0,0.00260076248391479,-35.38028121544616,0.0,48,6,3,80.0,-70.0,-35.38028121544616,35.38028121544616,0.0,-5.951950613903752
1,2,6,4,215.0,220.16663320546076,225.0,10.0,0.12,18.82014207041328,219.0,0.021128338905083185,5.166633205460755,4.0,49,6,4,80.0,-70.0,5.166633205460755,5.166633205460755,4.0,-3.85714006354973
1,2,6,5,225.0,225.33260061155022,225.0,10.0,0.12,18.836737778727656,225.0,0.02117614434501854,0.3326006115502196,0.0,50,6,5,80.0,-70.0,0.3326006115502196,0.3326006115502196,0.0,-3.85487999763655
1,2,6,6,235.0,246.69640324351357,225.0,10.0,0.06,18.85318938138059,229.0,0.012119471856394996,11.696403243513572,-6.0,51,6,6,80.0,-70.0,11.696403243513572,11.696403243513572,6.0,-4.412941875495473
1,2,6,7,245.0,194.56637185358616,225.0,10.0,0.12,18.869498129686054,237.0,0.0012424399511605263,-50.43362814641384,-8.0,52,6,7,80.0,-70.0,-50.43362814641384,50.43362814641384,8.0,-6.69067813020723
